ID,note,heures_etudes,orientation
E1,6.35,9,Littéraire
E2,14.57,19,Scientifique
E3,9.24,9,Littéraire
E4,16.13,24,Scientifique
E5,14.47,24,Scientifique
E6,18.67,27,Scientifique
E7,5.22,3,Littéraire
E8,13.59,15,Scientifique
E9,11.15,16,Littéraire
E10,16.66,27,Scientifique
E11,15.69,23,Scientifique
E12,18.08,26,Scientifique
E13,4.69,6,Littéraire
E14,2.28,0,Littéraire
E15,10.24,16,Littéraire
E16,14.6,18,Scientifique
E17,2.37,3,Littéraire
E18,20.0,29,Scientifique
E19,5.12,3,Littéraire
E20,9.0,14,Littéraire
E21,6.07,7,Littéraire
E22,19.01,28,Scientifique
E23,7.76,9,Littéraire
E24,4.21,10,Littéraire
E25,19.52,29,Scientifique
E26,11.45,14,Littéraire
E27,14.55,23,Scientifique
E28,2.18,0,Littéraire
E29,10.89,14,Littéraire
E30,6.97,9,Littéraire
E31,11.99,8,Littéraire
E32,9.21,10,Littéraire
E33,16.35,19,Scientifique
E34,17.8,26,Scientifique
E35,12.15,20,Scientifique
E36,5.61,3,Littéraire
E37,2.45,9,Littéraire
E38,18.26,16,Scientifique
E39,0.0,1,Littéraire
E40,5.07,5,Littéraire
E41,14.07,17,Scientifique
E42,14.44,18,Scientifique
E43,18.67,27,Scientifique
E44,18.82,29,Scientifique
E45,19.44,29,Scientifique
E46,12.42,17,Scientifique
E47,18.3,27,Scientifique
E48,15.74,25,Scientifique
E49,5.6,4,Littéraire
E50,2.26,0,Littéraire
E51,18.54,29,Scientifique
E52,4.64,4,Littéraire
E53,12.56,17,Scientifique
E54,15.47,20,Scientifique
E55,12.89,21,Scientifique
E56,14.69,20,Scientifique
E57,19.85,27,Scientifique
E58,7.75,10,Littéraire
E59,3.83,5,Littéraire
E60,19.0,19,Scientifique
E61,6.1,9,Littéraire
E62,12.54,21,Scientifique
E63,8.57,13,Littéraire
E64,11.56,14,Littéraire
E65,3.39,8,Littéraire
E66,15.28,23,Scientifique
E67,16.51,28,Scientifique
E68,13.63,16,Scientifique
E69,1.38,3,Littéraire
E70,8.02,6,Littéraire
E71,4.37,5,Littéraire
E72,20.0,28,Scientifique
E73,19.28,25,Scientifique
E74,17.29,20,Scientifique
E75,10.9,13,Littéraire
E76,2.08,6,Littéraire
E77,5.53,8,Littéraire
E78,7.78,11,Littéraire
E79,12.65,17,Scientifique
E80,18.77,24,Scientifique
E81,11.06,18,Littéraire
E82,13.72,17,Scientifique
E83,16.3,24,Scientifique
E84,3.73,4,Littéraire
E85,18.41,26,Scientifique
E86,2.33,4,Littéraire
E87,13.67,23,Scientifique
E88,7.07,13,Littéraire
E89,14.96,23,Scientifique
E90,2.93,1,Littéraire
E91,9.38,10,Littéraire
E92,15.73,18,Scientifique
E93,11.74,16,Littéraire
E94,8.06,13,Littéraire
E95,12.25,13,Scientifique
E96,2.92,0,Littéraire
E97,16.67,21,Scientifique
E98,16.0,19,Scientifique
E99,14.96,15,Scientifique
E100,4.47,2,Littéraire
E101,0.0,2,Littéraire
E102,6.76,3,Littéraire
E103,6.22,6,Littéraire
E104,5.0,11,Littéraire
E105,18.85,27,Scientifique
E106,12.99,21,Scientifique
E107,20.0,27,Scientifique
E108,7.68,7,Littéraire
E109,19.95,27,Scientifique
E110,5.1,4,Littéraire
E111,18.29,28,Scientifique
E112,15.86,19,Scientifique
E113,12.5,23,Scientifique
E114,18.69,24,Scientifique
E115,2.27,6,Littéraire
E116,2.41,0,Littéraire
E117,10.5,14,Littéraire
E118,4.99,2,Littéraire
E119,11.37,17,Littéraire
E120,3.51,0,Littéraire
E121,15.7,20,Scientifique
E122,11.12,14,Littéraire
