ID,Maths,series,Heures_d_etude
E0,8,scientifique,74
E1,20,scientifique,71
E2,4,littéraire,10
E3,4,littéraire,19
E4,11,littéraire,100
E5,8,scientifique,15
E6,0,littéraire,6
E7,12,scientifique,51
E8,10,littéraire,3
E9,14,scientifique,83
E10,4,littéraire,28
E11,3,littéraire,26
E12,1,littéraire,0
E13,14,scientifique,20
E14,0,littéraire,19
E15,3,littéraire,16
E16,19,scientifique,89
E17,11,scientifique,39
E18,10,scientifique,95
E19,9,littéraire,44
E20,1,littéraire,27
E21,3,littéraire,6
E22,12,scientifique,38
E23,8,littéraire,23
E24,11,littéraire,12
E25,12,littéraire,54
E26,6,littéraire,28
E27,6,littéraire,27
E28,20,littéraire,33
E29,2,littéraire,30
E30,9,littéraire,6
E31,2,littéraire,29
E32,12,scientifique,54
E33,6,littéraire,29
E34,1,littéraire,5
E35,15,scientifique,4
E36,19,littéraire,66
E37,11,littéraire,54
E38,19,scientifique,90
E39,7,littéraire,4
E40,10,littéraire,20
E41,9,littéraire,17
E42,0,littéraire,22
E43,8,littéraire,85
E44,3,littéraire,20
E45,1,littéraire,0
E46,11,littéraire,1
E47,9,scientifique,81
E48,15,scientifique,81
E49,11,littéraire,29
E50,18,scientifique,21
E51,16,scientifique,13
E52,10,littéraire,2
E53,7,littéraire,3
E54,10,littéraire,7
E55,3,littéraire,12
E56,11,scientifique,78
E57,15,scientifique,23
E58,4,littéraire,27
E59,11,littéraire,23
E60,13,scientifique,73
E61,7,littéraire,16
E62,6,littéraire,30
E63,3,littéraire,13
E64,5,littéraire,27
E65,7,littéraire,23
E66,8,littéraire,6
E67,10,littéraire,5
E68,9,littéraire,19
E69,0,littéraire,16
E70,5,littéraire,19
E71,8,littéraire,22
E72,9,scientifique,14
E73,11,littéraire,18
E74,7,littéraire,29
E75,10,littéraire,3
E76,10,littéraire,18
E77,9,littéraire,25
E78,15,scientifique,89
E79,2,littéraire,11
E80,4,littéraire,23
E81,0,littéraire,26
E82,18,scientifique,87
E83,1,littéraire,1
E84,10,littéraire,75
E85,9,littéraire,7
E86,1,littéraire,19
E87,4,littéraire,17
E88,4,littéraire,25
E89,11,littéraire,5
E90,15,scientifique,37
E91,14,littéraire,97
E92,18,littéraire,24
E93,3,littéraire,10
E94,0,littéraire,20
E95,13,scientifique,14
E96,7,littéraire,0
E97,11,scientifique,1
E98,0,littéraire,15
E99,10,scientifique,6
E100,9,scientifique,8
E101,9,littéraire,24
E102,5,littéraire,2
E103,4,littéraire,5
E104,20,scientifique,61
E105,2,littéraire,14
E106,6,littéraire,0
E107,18,scientifique,42
E108,4,littéraire,20
E109,13,littéraire,44
E110,0,littéraire,20
E111,10,littéraire,10
E112,2,littéraire,25
E113,13,littéraire,87
E114,18,scientifique,46
E115,3,littéraire,20
E116,1,littéraire,2
E117,9,scientifique,80
E118,9,littéraire,15
E119,15,scientifique,18
E120,11,littéraire,25
E121,15,scientifique,74
E122,11,scientifique,16
E123,9,littéraire,19
E124,0,littéraire,17
E125,9,littéraire,12
E126,14,scientifique,80
E127,10,littéraire,30
E128,7,littéraire,16
E129,11,littéraire,83
E130,9,scientifique,14
E131,9,littéraire,28
E132,5,littéraire,23
E133,11,littéraire,67
E134,14,scientifique,18
E135,15,littéraire,87
E136,7,scientifique,9
E137,5,scientifique,9
E138,9,littéraire,14
E139,7,littéraire,23
E140,4,littéraire,15
E141,0,littéraire,4
E142,3,littéraire,8
E143,8,scientifique,48
E144,14,littéraire,26
E145,4,littéraire,21
E146,13,scientifique,81
E147,10,littéraire,0
E148,4,littéraire,9
E149,7,littéraire,30
E150,8,littéraire,14
E151,9,littéraire,3
E152,6,littéraire,0
E153,18,littéraire,85
E154,4,littéraire,19
E155,14,scientifique,17
E156,2,littéraire,22
E157,4,scientifique,9
E158,9,littéraire,30
E159,5,scientifique,17
E160,14,scientifique,48
E161,1,littéraire,10
E162,4,littéraire,28
E163,10,littéraire,23
E164,11,scientifique,44
E165,11,littéraire,27
E166,7,littéraire,13
E167,4,littéraire,30
E168,11,scientifique,18
E169,10,scientifique,34
E170,20,scientifique,49
E171,3,littéraire,0
E172,6,littéraire,28
E173,3,littéraire,11
E174,18,scientifique,66
E175,6,littéraire,30
E176,11,littéraire,17
E177,9,littéraire,19
E178,5,littéraire,24
E179,20,scientifique,22
E180,6,littéraire,1
E181,16,scientifique,94
E182,11,littéraire,0
E183,4,littéraire,17
E184,15,littéraire,27
E185,19,scientifique,16
E186,0,littéraire,27
E187,5,littéraire,4
E188,4,littéraire,24
E189,17,littéraire,45
E190,5,littéraire,12
E191,3,littéraire,21
E192,10,littéraire,26
E193,19,scientifique,25
E194,4,littéraire,19
E195,15,scientifique,19
E196,7,littéraire,21
E197,8,littéraire,21
E198,5,scientifique,24
E199,15,scientifique,14
