ID,Match,SVT,Informatique,Français,Anglais,Histoire/Géographie,Participation
E0,10,5,7,20,3,20,60
E1,14,19,10,18,13,13,98
E2,19,13,1,13,17,9,67
E3,19,10,13,17,7,4,40
E4,19,19,5,2,18,20,45
E5,8,17,16,16,1,0,82
E6,14,1,20,4,15,16,69
E7,16,6,3,9,15,1,43
E8,1,18,1,6,19,10,44
E9,8,3,6,5,16,1,18
E10,11,6,4,5,7,1,97
E11,0,9,9,5,16,4,87
E12,16,6,1,1,14,19,84
E13,4,20,0,8,17,6,41
E14,1,15,20,16,3,17,18
E15,3,1,17,14,8,16,75
E16,16,1,16,9,8,14,78
E17,18,11,8,12,13,10,11
E18,13,19,20,13,10,16,56
E19,19,13,8,4,7,5,59
E20,9,11,4,8,10,15,4
E21,18,2,11,12,5,18,3
E22,19,15,7,1,6,14,67
E23,16,12,14,18,7,8,57
E24,14,3,4,13,18,17,65
E25,14,13,2,12,2,5,40
E26,10,0,11,3,12,18,98
E27,2,13,11,11,8,14,46
E28,11,7,10,19,13,6,75
E29,17,1,1,2,19,18,77
E30,15,4,9,18,2,1,52
E31,13,9,18,9,14,6,84
E32,15,16,10,18,2,19,78
E33,7,15,1,15,11,17,1
E34,4,5,19,17,0,14,75
E35,10,1,3,10,5,18,83
E36,12,16,9,19,4,9,96
E37,0,5,16,13,9,12,100
E38,15,11,16,13,19,12,72
E39,18,18,1,11,11,10,85
E40,7,0,14,19,16,14,34
E41,9,8,9,2,2,14,31
E42,6,2,12,11,3,5,22
E43,3,11,8,1,16,20,57
E44,0,1,18,16,1,13,60
E45,10,7,2,15,9,3,59
E46,10,4,2,19,17,17,16
E47,11,2,8,2,15,18,43
E48,6,19,10,20,6,12,96
E49,19,11,2,6,6,13,21
E50,3,19,10,20,4,16,16
E51,17,20,1,13,9,5,69
E52,15,15,10,10,0,3,61
E53,13,3,10,5,15,19,94
E54,4,18,16,12,4,3,60
E55,0,11,15,20,7,19,100
E56,2,18,0,5,6,9,54
E57,16,14,15,9,15,4,95
E58,2,12,0,19,11,5,1
E59,5,3,17,5,5,6,73
E60,18,5,18,7,0,15,18
E61,16,5,6,19,18,18,5
E62,14,14,8,17,19,5,98
E63,12,10,19,17,9,10,100
E64,12,12,19,0,11,19,11
E65,13,13,9,8,20,7,92
E66,7,0,14,19,0,20,62
E67,13,15,8,13,3,4,13
E68,14,8,5,1,5,19,0
E69,8,15,17,10,6,9,69
E70,5,2,1,7,9,3,74
E71,8,15,3,11,18,16,91
E72,12,16,15,3,3,8,65
E73,9,9,1,6,1,12,66
E74,9,4,0,13,13,19,15
E75,12,0,12,15,18,5,90
E76,2,8,15,3,16,2,87
E77,7,7,10,5,11,16,59
E78,9,9,13,11,9,20,38
E79,11,20,7,8,19,8,34
E80,6,10,20,20,8,17,99
E81,1,18,11,19,17,14,3
E82,20,12,17,8,8,0,59
E83,10,7,9,2,20,8,24
E84,0,7,11,3,17,18,44
E85,11,4,20,10,7,2,34
E86,12,2,3,1,4,18,58
E87,15,14,20,13,1,0,25
E88,9,16,12,1,17,5,7
E89,10,8,8,10,11,0,86
E90,4,12,18,2,10,0,50
E91,12,8,2,0,11,16,43
E92,8,7,10,9,10,7,22
E93,8,2,5,6,8,16,74
E94,17,3,9,17,12,6,31
E95,4,8,14,13,13,13,5
E96,14,17,0,20,0,11,20
E97,6,1,0,3,5,1,47
E98,0,9,4,17,18,19,16
E99,7,13,4,20,20,3,58
E100,16,7,16,1,3,7,56
E101,4,1,16,3,18,1,89
E102,9,3,15,1,11,4,33
E103,13,12,12,3,16,2,20
E104,19,2,10,0,7,2,7
E105,19,1,3,5,19,1,42
E106,14,12,18,3,18,12,60
E107,20,8,15,17,5,15,86
E108,13,15,6,6,6,4,82
E109,1,10,2,3,4,13,19
E110,10,7,12,13,2,1,44
E111,9,19,1,11,5,20,38
E112,12,12,17,11,19,3,78
E113,16,20,19,11,11,4,0
E114,1,5,3,17,6,2,27
E115,2,12,20,15,2,13,48
E116,9,1,1,4,11,7,64
E117,14,16,0,7,17,10,65
E118,11,19,3,5,15,19,100
E119,15,13,7,13,10,2,70
E120,17,5,0,17,4,7,59
E121,11,14,3,19,2,2,78
